time,open,high,low,close,Volume
2023-06-01T06:30:00-07:00,418.11,418.28,417.04,417.32,832228
2023-06-01T06:45:00-07:00,417.32,417.39,416.79,417.2,780055
2023-06-01T07:00:00-07:00,417.27,418.56,417.2,418.53,687018
2023-06-01T07:15:00-07:00,418.48,418.75,417.42,418.01,671824
2023-06-01T07:30:00-07:00,418.02,419.28,417.87,419.19,509567
2023-06-01T07:45:00-07:00,419.19,419.74,418.98,419.37,715221
2023-06-01T08:00:00-07:00,419.38,419.9,419.17,419.8,456116
2023-06-01T08:15:00-07:00,419.8,420.31,419.69,420.17,561397
2023-06-01T08:30:00-07:00,420.19,420.71,420.09,420.55,500618
2023-06-01T08:45:00-07:00,420.55,421.09,420.51,421.04,481940
2023-06-01T09:00:00-07:00,421.06,421.51,421.06,421.29,657966
2023-06-01T09:15:00-07:00,421.32,421.85,421.14,421.74,446099
2023-06-01T09:30:00-07:00,421.75,421.81,421.495,421.51,359305
2023-06-01T09:45:00-07:00,421.51,421.77,421.26,421.67,307525
2023-06-01T10:00:00-07:00,421.68,421.77,421.42,421.75,246236
2023-06-01T10:15:00-07:00,421.76,421.94,421.27,421.5,385974
2023-06-01T10:30:00-07:00,421.52,421.59,421.31,421.57,282155
2023-06-01T10:45:00-07:00,421.57,422.08,421.55,422.08,206892
2023-06-01T11:00:00-07:00,422.08,422.22,421.735,422.02,321168
2023-06-01T11:15:00-07:00,422.02,422.2,421.83,422.04,240369
2023-06-01T11:30:00-07:00,422.05,422.1,421.8,421.98,268678
2023-06-01T11:45:00-07:00,421.99,422.49,421.91,422.43,327434
2023-06-01T12:00:00-07:00,422.44,422.9,422.39,422.83,686413
2023-06-01T12:15:00-07:00,422.825,422.92,421.795,421.9,599904
2023-06-01T12:30:00-07:00,421.89,421.98,420.87,421.26,1148729
2023-06-01T12:45:00-07:00,421.24,421.84,421.13,421.83,1666707
2023-06-02T06:30:00-07:00,424.49,426.379,424.49,426.02,858525
2023-06-02T06:45:00-07:00,426.03,426.16,424.3,424.355,847723
2023-06-02T07:00:00-07:00,424.38,425.79,423.95,425.65,635875
