time,open,high,low,close,Volume
2025-07-14T06:30:00-07:00,623.17,623.35,622.7,622.77,286132
2025-07-14T06:35:00-07:00,622.77,623.17,622.53,623.04,155168
2025-07-14T06:40:00-07:00,623.03,623.12,621.79,621.96,235525
2025-07-14T06:45:00-07:00,621.93,623.22,621.8,623.18,226727
2025-07-14T06:50:00-07:00,623.17,623.46,622.9,623.2,157127
2025-07-14T06:55:00-07:00,623.19,623.23,622.52,622.67,196146
2025-07-14T07:00:00-07:00,622.67,622.85,622.35,622.84,159286
2025-07-14T07:05:00-07:00,622.82,623.03,622.54,622.88,90256
2025-07-14T07:10:00-07:00,622.88,622.99,622.26,622.94,152750
2025-07-14T07:15:00-07:00,622.93,623.45,622.93,623.26,125645
2025-07-14T07:20:00-07:00,623.27,623.71,623.17,623.52,220862
2025-07-14T07:25:00-07:00,623.54,623.55,622.58,622.69,158053
2025-07-14T07:30:00-07:00,622.68,622.89,622.37,622.591,233485
2025-07-14T07:35:00-07:00,622.59,623.03,622.5,622.899,163144
2025-07-14T07:40:00-07:00,622.89,623.1,622.8,622.98,154343
2025-07-14T07:45:00-07:00,622.96,623.19,622.67,622.74,113196
2025-07-14T07:50:00-07:00,622.72,623.2,622.66,623.12,98628
2025-07-14T07:55:00-07:00,623.11,623.52,623.08,623.48,125228
2025-07-14T08:00:00-07:00,623.47,623.8,623.31,623.429,238755
2025-07-14T08:05:00-07:00,623.43,623.65,623.28,623.58,169035
2025-07-14T08:10:00-07:00,623.58,623.77,623.535,623.66,147721
2025-07-14T08:15:00-07:00,623.65,623.77,623.41,623.59,99407
2025-07-14T08:20:00-07:00,623.61,623.74,623.48,623.711,100089
2025-07-14T08:25:00-07:00,623.71,624.14,623.65,624.13,152626
2025-07-14T08:30:00-07:00,624.14,624.21,623.94,623.99,154663
2025-07-14T08:35:00-07:00,624,624.3,623.84,624.24,135795
2025-07-14T08:40:00-07:00,624.225,624.39,624.15,624.161,124934
2025-07-14T08:45:00-07:00,624.17,624.18,623.95,624.019,95242
2025-07-14T08:50:00-07:00,624.019,624.11,623.91,623.96,68129
2025-07-14T08:55:00-07:00,623.97,624,623.77,623.949,98600
2025-07-14T09:00:00-07:00,623.94,624.15,623.83,624.05,86059
2025-07-14T09:05:00-07:00,624.049,624.32,624.03,624.289,100009
2025-07-14T09:10:00-07:00,624.29,624.319,623.8,624.049,84314
2025-07-14T09:15:00-07:00,624.04,624.075,623.81,623.94,60859
2025-07-14T09:20:00-07:00,623.94,624.12,623.88,623.939,51621
2025-07-14T09:25:00-07:00,623.93,624.04,623.83,623.88,51638
2025-07-14T09:30:00-07:00,623.88,623.93,623.62,623.72,81900
2025-07-14T09:35:00-07:00,623.72,623.86,623.71,623.75,59323
2025-07-14T09:40:00-07:00,623.74,624.15,623.7,623.96,87837
2025-07-14T09:45:00-07:00,623.96,624.26,623.94,624.24,111229
2025-07-14T09:50:00-07:00,624.26,624.41,624.199,624.39,93471
2025-07-14T09:55:00-07:00,624.39,624.48,624.269,624.28,105853
2025-07-14T10:00:00-07:00,624.28,624.63,624.28,624.61,106076
2025-07-14T10:05:00-07:00,624.61,624.64,624.44,624.51,83960
2025-07-14T10:10:00-07:00,624.53,624.71,624.46,624.71,76905
2025-07-14T10:15:00-07:00,624.7,624.96,624.629,624.85,112192
2025-07-14T10:20:00-07:00,624.85,624.9,624.64,624.72,97112
2025-07-14T10:25:00-07:00,624.73,624.77,624.6,624.71,114375
2025-07-14T10:30:00-07:00,624.71,624.9,624.66,624.82,90925
2025-07-14T10:35:00-07:00,624.82,624.99,624.72,624.82,69734
2025-07-14T10:40:00-07:00,624.83,624.84,624.63,624.7,73077
2025-07-14T10:45:00-07:00,624.71,624.73,624.42,624.69,136607
2025-07-14T10:50:00-07:00,624.69,624.9,624.65,624.875,60626
2025-07-14T10:55:00-07:00,624.87,624.9,624.67,624.68,79425
2025-07-14T11:00:00-07:00,624.68,624.8,624.595,624.79,85324
2025-07-14T11:05:00-07:00,624.79,624.92,624.749,624.88,64413
2025-07-14T11:10:00-07:00,624.87,624.9,624.7,624.76,58019
2025-07-14T11:15:00-07:00,624.79,624.801,624.675,624.7,47328
2025-07-14T11:20:00-07:00,624.72,624.92,624.69,624.83,69632
2025-07-14T11:25:00-07:00,624.84,625,624.79,624.96,51069
2025-07-14T11:30:00-07:00,624.96,625.14,624.93,625.11,72359
2025-07-14T11:35:00-07:00,625.1,625.159,624.95,624.98,84514
2025-07-14T11:40:00-07:00,624.98,625.07,624.92,625.05,84393
2025-07-14T11:45:00-07:00,625.06,625.105,624.96,624.99,36682
2025-07-14T11:50:00-07:00,624.98,625.1,624.95,625.02,49406
2025-07-14T11:55:00-07:00,625.02,625.09,624.91,624.94,78919
2025-07-14T12:00:00-07:00,624.94,625.12,624.94,625.01,113509
2025-07-14T12:05:00-07:00,625.02,625.025,624.77,624.78,70616
2025-07-14T12:10:00-07:00,624.78,624.935,624.75,624.91,95927
2025-07-14T12:15:00-07:00,624.91,624.91,624.77,624.79,95891
2025-07-14T12:20:00-07:00,624.8,624.83,624.54,624.605,163499
2025-07-14T12:25:00-07:00,624.58,624.94,624.58,624.729,197856
2025-07-14T12:30:00-07:00,624.73,624.73,624.52,624.54,101627
2025-07-14T12:35:00-07:00,624.53,624.7,624.49,624.58,99651
2025-07-14T12:40:00-07:00,624.58,624.68,624.435,624.44,107133
2025-07-14T12:45:00-07:00,624.43,624.81,624.3,624.75,225955
2025-07-14T12:50:00-07:00,624.72,624.81,624.43,624.59,303083
2025-07-14T12:55:00-07:00,624.58,624.99,624.48,624.7,748835
2025-07-15T06:30:00-07:00,627.5,627.87,626.86,626.9,328226
2025-07-15T06:35:00-07:00,626.89,627.16,626.48,626.5,252282
2025-07-15T06:40:00-07:00,626.52,626.52,625.89,626.335,321239
2025-07-15T06:45:00-07:00,626.36,626.65,625.81,625.95,222672
2025-07-15T06:50:00-07:00,625.93,626.42,625.93,626.13,154783
2025-07-15T06:55:00-07:00,626.15,626.31,625.57,625.65,201264
2025-07-15T07:00:00-07:00,625.67,625.83,625.27,625.48,202322
2025-07-15T07:05:00-07:00,625.5,625.94,625.38,625.79,158594
2025-07-15T07:10:00-07:00,625.78,626.25,625.72,626.21,133841
2025-07-15T07:15:00-07:00,626.21,626.4,625.739,626.16,107876
2025-07-15T07:20:00-07:00,626.16,626.23,625.85,626.03,106995
2025-07-15T07:25:00-07:00,626,626.02,625.38,625.48,173240
2025-07-15T07:30:00-07:00,625.49,625.59,624.83,625.4,275927
2025-07-15T07:35:00-07:00,625.41,625.52,624.85,625.12,213108
2025-07-15T07:40:00-07:00,625.12,625.2,624.7,624.92,210271
2025-07-15T07:45:00-07:00,624.89,625.39,624.89,625.19,140182
2025-07-15T07:50:00-07:00,625.18,625.31,624.07,624.39,296901
2025-07-15T07:55:00-07:00,624.41,624.41,623.8,623.89,298770
2025-07-15T08:00:00-07:00,623.88,624.45,623.88,624.34,263373
2025-07-15T08:05:00-07:00,624.36,624.87,624.32,624.65,216146
2025-07-15T08:10:00-07:00,624.67,624.85,624.23,624.23,165118
2025-07-15T08:15:00-07:00,624.25,624.49,624.165,624.38,219101
2025-07-15T08:20:00-07:00,624.355,625.04,624.32,625,162087
2025-07-15T08:25:00-07:00,625,625.2,624.87,625.12,123360
2025-07-15T08:30:00-07:00,625.12,625.21,624.53,624.78,138210
2025-07-15T08:35:00-07:00,624.79,624.94,624.55,624.82,150060
2025-07-15T08:40:00-07:00,624.81,625.21,624.77,625.04,99680
2025-07-15T08:45:00-07:00,625.03,625.39,624.98,625.3,115178
2025-07-15T08:50:00-07:00,625.31,625.32,624.82,624.87,144762
2025-07-15T08:55:00-07:00,624.86,624.91,624.52,624.841,121215
2025-07-15T09:00:00-07:00,624.85,624.99,624.67,624.921,102837
2025-07-15T09:05:00-07:00,624.92,624.98,624.22,624.24,126776
2025-07-15T09:10:00-07:00,624.23,624.47,624.01,624.33,198211
2025-07-15T09:15:00-07:00,624.31,624.61,624.26,624.39,100405
2025-07-15T09:20:00-07:00,624.39,624.68,624.26,624.429,106824
