time,open,high,low,close,Volume
2023-06-01T06:30:00-07:00,347.76,348.15,346.66,347.81,752922
2023-06-01T06:45:00-07:00,347.82,348.38,347.14,348.06,533400
2023-06-01T07:00:00-07:00,348.05,348.82,348.02,348.51,500839
2023-06-01T07:15:00-07:00,348.45,348.69,347.17,347.87,458814
2023-06-01T07:30:00-07:00,347.865,349.36,347.55,349.24,249087
2023-06-01T07:45:00-07:00,349.29,349.85,349.08,349.21,409059
2023-06-01T08:00:00-07:00,349.23,349.95,348.92,349.91,206467
2023-06-01T08:15:00-07:00,349.92,350.31,349.51,349.84,234435
2023-06-01T08:30:00-07:00,349.84,350.45,349.74,350.09,232977
2023-06-01T08:45:00-07:00,350.1,350.82,350.09,350.78,216880
2023-06-01T09:00:00-07:00,350.805,351.33,350.8,351.2,291948
2023-06-01T09:15:00-07:00,351.23,351.8,351.13,351.59,216560
2023-06-01T09:30:00-07:00,351.6,351.75,351.34,351.59,214602
2023-06-01T09:45:00-07:00,351.59,351.85,351.31,351.76,186851
2023-06-01T10:00:00-07:00,351.77,352,351.52,352,134244
2023-06-01T10:15:00-07:00,352,352.01,351.39,351.52,278780
2023-06-01T10:30:00-07:00,351.55,351.91,351.34,351.78,134091
2023-06-01T10:45:00-07:00,351.8,352.36,351.77,352.35,209679
2023-06-01T11:00:00-07:00,352.35,352.66,352.07,352.38,215375
2023-06-01T11:15:00-07:00,352.4,352.6,352.27,352.43,181485
2023-06-01T11:30:00-07:00,352.43,352.6,352.175,352.43,207111
2023-06-01T11:45:00-07:00,352.445,352.94,352.32,352.77,330826
2023-06-01T12:00:00-07:00,352.78,353.29,352.74,353.21,313457
2023-06-01T12:15:00-07:00,353.21,353.365,352.18,352.26,295916
2023-06-01T12:30:00-07:00,352.26,352.33,351.08,351.48,604306
2023-06-01T12:45:00-07:00,351.46,352.07,351.45,352.05,758517
2023-06-02T06:30:00-07:00,353.765,355.825,353.75,355.3,738599
2023-06-02T06:45:00-07:00,355.28,355.39,352.16,352.3,974389
2023-06-02T07:00:00-07:00,352.3,353.62,352.01,353.52,553436
2023-06-02T07:15:00-07:00,353.52,353.69,352.39,353.33,342538
2023-06-02T07:30:00-07:00,353.34,354.32,352.82,354.27,335474
2023-06-02T07:45:00-07:00,354.325,354.98,354.05,354.85,313915
2023-06-02T08:00:00-07:00,354.89,355.3,354.52,354.53,372271
2023-06-02T08:15:00-07:00,354.53,355.14,354.52,354.89,202907
2023-06-02T08:30:00-07:00,354.9,355.14,354.54,354.92,222873
2023-06-02T08:45:00-07:00,354.93,354.97,354.21,354.85,231020
2023-06-02T09:00:00-07:00,354.855,354.96,354.11,354.27,259157
2023-06-02T09:15:00-07:00,354.27,354.66,354.06,354.5,136101
2023-06-02T09:30:00-07:00,354.52,355.03,354.35,354.97,110339
2023-06-02T09:45:00-07:00,354.99,355.36,354.96,355,192380
2023-06-02T10:00:00-07:00,355.03,355.29,354.65,354.89,157509
2023-06-02T10:15:00-07:00,354.895,355.28,354.75,355.16,142805
2023-06-02T10:30:00-07:00,355.17,355.21,354.65,354.82,119259
2023-06-02T10:45:00-07:00,354.82,354.86,354.62,354.84,111666
2023-06-02T11:00:00-07:00,354.85,355.01,354.07,354.12,183011
2023-06-02T11:15:00-07:00,354.14,354.72,354.05,354.53,131125
2023-06-02T11:30:00-07:00,354.54,354.95,354.43,354.86,97503
2023-06-02T11:45:00-07:00,354.86,355.11,354.63,354.85,142861
2023-06-02T12:00:00-07:00,354.89,355.2,354.59,354.79,193060
2023-06-02T12:15:00-07:00,354.81,355.1,354.57,354.61,170297
2023-06-02T12:30:00-07:00,354.59,354.88,354.345,354.64,225976
2023-06-02T12:45:00-07:00,354.65,354.95,354.46,354.69,1114264
2023-06-05T06:30:00-07:00,354.5,356.45,354.44,356.15,548981
2023-06-05T06:45:00-07:00,356.18,356.31,354.71,355.09,358529
