time,open,high,low,close,HTF2 SHA (Open),HTF2 SHA (High,HTF2 SHA (Low),HTF2 SHA (Close),HTF1 SHA (Open),HTF1 SHA (High,HTF1 SHA (Low),HTF1 SHA (Close),Base SHA (Open),Base SHA (High,Base SHA (Low),Base SHA (Close),Entry Long,Entry Short,Exit,Active Stop,Base Dir,HTF1 Dir,HTF2 Dir,Alignment,Position,Volume
2017-10-01,5420.745,6498.01,4110,5362.375,4566.078873504049,5262.0273674121545,4566.078873504049,5262.0273674121545,5737.916519931887,5819.9835842703305,5737.916519931887,5819.9835842703305,,,,,,,,,-1,1,1,0,0,41626.388463
2017-11-01,5391.5599999999995,11300.03,5325.01,8231.75,6110.0804640604365,7098.015235672958,6110.0804640604365,7098.015235672958,8308.91092304773,8722.713425822905,8308.91092304773,8722.713425822905,,,,,,,,,-1,1,1,0,0,108487.978119
2017-12-01,6811.655,19798.68,6811.655,13183.01,12169.853181908202,14162.486087766623,12169.853181908202,14162.486087766623,14862.40901017192,14862.40901017192,14507.267707096298,14507.267707096298,,,,,,,,,-1,-1,1,0,0,408432.578917
2018-01-01,9997.3325,17176.24,9035,12552.9975,13832.395944906302,13832.395944906302,12756.041258687748,12756.041258687748,11452.954092664491,11452.954092664491,11300.216483052125,11300.216483052125,,,,,,,,,-1,-1,-1,0,0,816675.564467
2018-02-01,11275.165,11786.01,6000.01,9599.470000000001,10681.62720249987,10681.62720249987,9971.374688975517,9971.374688975517,10100.44503720607,10137.554914807539,10100.44503720607,10137.554914807539,,,,,,,,,-1,1,-1,0,0,1243938.327695
2018-03-01,10437.317500000001,11710,6600.1,8889.912499999999,9942.8583067645,9942.8583067645,9284.472032590587,9284.472032590587,8341.939877641462,8341.939877641462,8055.8867607389,8055.8867607389,,,,,,,,,-1,-1,-1,0,0,1235148.956367
2018-04-01,9663.615,9759.82,6430,8089.4575,8063.3633301412765,8314.008939113755,8063.3633301412765,8314.008939113755,8781.521421613337,8949.56643921474,8781.521421613337,8949.56643921474,,,,,,,,,-1,1,1,0,0,1110963.167755
2018-05-01,8876.536250000001,10020,7032.95,8445.9925,8735.465378994568,8735.465378994568,8505.717511231393,8505.717511231393,7764.675316353529,7764.675316353529,7616.300243800731,7616.300243800731,,,,,,,,,-1,-1,-1,0,0,914473.537546
2018-06-01,8661.264375,8661.264375,5750,6852.9425,7733.084765602148,7733.084765602148,6959.624175372813,6959.624175372813,6327.074619904414,6327.074619904414,6245.140792908117,6245.140792908117,,,,,,,,,-1,-1,-1,0,0,942242.544953
2018-07-01,7757.1034375,8491.77,6070,7170.945,6645.409980077093,7025.912328716554,6645.409980077093,7025.912328716554,7740.807425934245,7879.178718382292,7740.807425934245,7879.178718382292,,,,,,,,,-1,1,1,0,0,1102510.436786
2018-08-01,7464.02421875,7750,5880,7094.219999999999,6976.85146257416,6976.85146257416,6709.303687719575,6709.303687719575,6639.842252093024,6742.741106679972,6639.842252093024,6742.741106679972,8815.776863172969,8815.776863172969,8707.173693435376,8707.173693435376,,,,,-1,1,-1,0,0,1408159.816556
2018-09-01,7279.122109374999,7410,6111,6789.695,6663.679079442057,6663.679079442057,6578.6504267422915,6578.6504267422915,6549.177983080534,6565.325072403649,6549.177983080534,6565.325072403649,8619.940992701115,8619.940992701115,8395.777991020692,8395.777991020692,,,,,-1,1,-1,0,0,1100573.782678
2018-10-01,7034.408554687499,7680,6205,6720.875,6612.631409440699,6628.688573734335,6612.631409440699,6628.688573734335,6547.491841034354,6547.491841034354,6504.748187842186,6504.748187842186,8397.777269725193,8397.777269725193,8118.397143018389,8118.397143018389,,,,,-1,-1,1,0,0,629916.320853
2018-11-01,6877.64177734375,6877.64177734375,3652.66,5169.6625,6438.96128270106,6438.96128270106,5817.9111448394915,5817.9111448394915,4574.559676958452,4574.559676958452,4384.644964229862,4384.644964229862,8172.467700266238,8172.467700266238,7769.042024675402,7769.042024675402,,,,,-1,-1,-1,-1,0,1210365.449617
2018-12-01,6023.652138671875,6023.652138671875,3156.26,3803.355,4332.28924339223,4332.28924339223,3864.114466255097,3864.114466255097,3768.961003945797,3768.961003945797,3767.470724439952,3767.470724439952,7904.161913277612,7904.161913277612,7337.804106751833,7337.804106751833,,6023.652138671875,,11712,-1,-1,-1,-1,-1,1591229.147171
2019-01-01,4913.503569335938,4913.503569335938,3349.92,3638.7625000000003,3810.2324392870164,3810.2324392870164,3656.5626166769794,3656.5626166769794,3549.658796803345,3549.658796803345,3520.328202802855,3520.328202802855,7569.188493975561,7569.188493975561,6857.992483091158,6857.992483091158,,,,11712,-1,-1,-1,-1,-1,908244.14054
2019-02-01,4276.133034667969,4276.133034667969,3373.1,3704.7225000000003,3596.501416132721,3683.975542454536,3596.501416132721,3683.975542454536,3845.3154315799807,3849.75291205524,3845.3154315799807,3849.75291205524,7173.305864947345,7173.305864947345,6371.816361759983,6371.816361759983,,,,11712,-1,1,1,0,-1,861783.986727
2019-03-01,3990.427767333985,4140,3670.69,3932.2250000000004,3833.6653715793755,3942.6717021391773,3833.6653715793755,3942.6717021391773,3984.6035637988102,4007.674922353875,3984.6035637988102,4007.674922353875,6741.228628342319,6741.228628342319,5928.180334478636,5928.180334478636,,,,11712,-1,1,1,0,-1,787190.48925
2019-04-01,3961.3263836669926,5600,3961.3263836669926,4772.5625,4501.354918540499,4976.384233952392,4501.354918540499,4976.384233952392,5290.621843120998,5295.09122886973,5290.621843120998,5295.09122886973,6310.334770846099,6310.334770846099,5600.761164623328,5600.761164623328,,,,11712,-1,1,1,0,-1,1126961.315101
2019-05-01,4366.944441833496,9074.26,4366.944441833496,7066.85,5795.34849798867,6942.2663155487935,5795.34849798867,6942.2663155487935,8056.4252632486605,8220.246549155696,8056.4252632486605,8220.246549155696,5936.593748406863,5936.593748406863,5502.897868139155,5502.897868139155,,,,11712,-1,1,1,0,-1,1498409.89023
2019-06-01,5716.897220916748,13970,5716.897220916748,10205.92,8253.12237169728,9795.102261675838,8253.12237169728,9795.102261675838,10655.897142977072,11098.989457110298,10655.897142977072,11098.989457110298,5705.003637684681,5759.40884020825,5705.003637684681,5759.40884020825,,,10205.92,,1,1,1,1,0,1689489.647326
2019-07-01,7961.408610458374,13147.08,7961.408610458374,10785.4275,10456.050997079034,10456.050997079034,10395.163605519205,10395.163605519205,10025.825129703337,10025.825129703337,9881.222829320273,9881.222829320273,5720.740106266654,6252.840390731244,5720.740106266654,6252.840390731244,7961.408610458374,,,3154.26,1,-1,-1,0,1,1886176.065915
2019-08-01,9373.418055229187,12330.7,9320,10329.675000000001,10605.725005938464,10610.135463900766,10605.725005938464,10610.135463900766,10225.991299493551,10225.991299493551,10066.060583898465,10066.060583898465,5977.8721453035405,6846.273591915402,5977.8721453035405,6846.273591915402,,,,3154.26,1,-1,1,0,1,1201960.943398
2019-09-01,9851.546527614595,10905.87,7710,9123.4875,10246.691156128038,10246.691156128038,9757.2091552444,9757.2091552444,9256.2720936163,9256.2720936163,8875.398725000401,8875.398725000401,6405.1365661241525,7350.00485602252,6405.1365661241525,7350.00485602252,,,,3154.26,1,-1,-1,0,1,1116856.475836
2019-10-01,9487.517013807297,10370,7300,8775.205,8860.629709048297,8860.629709048297,8564.720158250933,8564.720158250933,8501.867515499509,8748.622926264741,8501.867515499509,8748.622926264741,6872.175809140311,7730.250614599557,6872.175809140311,7730.250614599557,,,,3154.26,1,1,-1,0,1,1446755.854716
2019-11-01,9131.361006903648,9513.68,6515,8177.8575,8885.027342322255,8885.027342322255,8526.405949500522,8526.405949500522,7603.100220873073,7603.100220873073,7519.486163446487,7519.486163446487,7297.017177033136,7961.407436346739,7297.017177033136,7961.407436346739,,,,3154.26,1,-1,-1,0,1,1499118.774995
2019-12-01,8654.609253451825,8654.609253451825,6435,7230.215,7580.695018913808,7580.695018913808,7335.497157504101,7335.497157504101,7245.8485412330265,7264.262999395919,7245.8485412330265,7264.262999395919,7625.948724039095,8049.920703418017,7625.948724039095,8049.920703418017,,,,3154.26,1,1,-1,0,1,1307026.46794
2020-01-01,7942.4121267259125,9578,6871.04,8249.2925,7632.326608539869,8115.497886191636,7632.326608539869,8115.497886191636,8675.603804878938,8834.615308061419,8675.603804878938,8834.615308061419,7835.39637166679,8101.028268341366,7835.39637166679,8101.028268341366,,,,3154.26,1,1,1,1,1,1691323.137782
2020-02-01,8095.852313362956,10500,8095.852313362956,9205.08,8905.786349241715,9553.394995955674,8905.786349241715,9553.394995955674,9593.267819267761,9593.267819267761,9378.872036062763,9378.872036062763,7966.238053956038,8202.493388713605,7966.238053956038,8202.493388713605,,,,3154.26,1,-1,1,0,1,1609726.154564
2020-03-01,8650.466156681478,9188,3782.13,6976.045,7996.190866529159,7996.190866529159,6747.552460556179,6747.552460556179,6288.965055714533,6304.224103284228,6288.965055714533,6304.224103284228,8082.830181075235,8156.214169372362,8082.830181075235,8156.214169372362,,,,3154.26,1,1,-1,0,1,3789768.911749
2020-04-01,7813.255578340739,9460,6150.11,7660.5625,6778.293224785332,6940.45775869229,6778.293224785332,6940.45775869229,7334.601568259945,7575.421396990719,7334.601568259945,7575.421396990719,8118.327866133009,8118.327866133009,8100.374342587589,8100.374342587589,,,7660.5625,,-1,1,1,0,0,2528356.357416
2020-05-01,7736.909039170369,10067,7736.909039170369,9063.067500000001,8431.65502391755,9004.901060458316,8431.65502391755,9004.901060458316,9190.619211261941,9244.10794051184,9190.619211261941,9244.10794051184,8108.422197289685,8123.257716932259,8108.422197289685,8123.257716932259,,,,,1,1,1,1,0,2685340.078508
2020-06-01,8399.988269585185,10380,8399.988269585185,9449.955,9290.093052386836,9346.673361918703,9290.093052386836,9346.673361918703,9327.317789947874,9327.317789947874,9261.26355317534,9261.26355317534,8115.117473833828,8225.867750991802,8115.117473833828,8225.867750991802,8399.988269585185,,,3780.13,1,-1,1,0,1,1504745.375051
