time,open,high,low,close,HTF2 SHA (Open),HTF2 SHA (High,HTF2 SHA (Low),HTF2 SHA (Close),HTF1 SHA (Open),HTF1 SHA (High,HTF1 SHA (Low),HTF1 SHA (Close),Base SHA (Open),Base SHA (High,Base SHA (Low),Base SHA (Close),Entry Long,Entry Short,Exit,Active Stop,Base Dir,HTF1 Dir,HTF2 Dir,Alignment,Position,Volume
2017-08-14,4173.885,4485.39,3850,4170.79,,,,,,,,,,,,,,,,,-1,-1,-1,0,0,2843.431426
2017-08-21,4172.3375,4453.91,3400,4058.2625000000003,,,,,4137.800321371024,4139.810456367863,4137.800321371024,4139.810456367863,,,,,,,,,-1,1,-1,0,0,4599.396629
2017-08-28,4115.3,4939.19,4115.3,4470.705,4131.75703125,4200.4225,4131.75703125,4200.4225,4363.12708504831,4441.103531526118,4363.12708504831,4441.103531526118,,,,,,,,,-1,1,1,0,0,4753.843376
2017-09-04,4293.0025000000005,4788.59,3603,4256.74,4185.57515625,4239.238472222221,4185.57515625,4239.238472222221,4426.745245765592,4426.745245765592,4398.002780898957,4398.002780898957,,,,,,,,,-1,-1,1,0,0,6382.787745
2017-09-11,4274.87125,4394.59,2817,3766.2999999999997,4218.901944444444,4218.901944444444,4054.19662037037,4054.19662037037,4131.291806338749,4131.291806338749,3973.5875298307437,3973.5875298307437,,,,,,,,,-1,-1,-1,0,0,8106.705127
2017-09-18,4020.5856249999997,4123.2,3505.55,3744.6925,4138.714325810185,4138.714325810185,3942.2188194444443,3942.2188194444443,3850.469801566702,3850.469801566702,3804.158787163657,3804.158787163657,,,,,,,,,-1,-1,-1,0,0,5908.32335
2017-09-25,3882.6390625,4406.52,3653.69,4024.6775000000002,4041.188253761574,4041.188253761574,3951.8492065329215,3951.8492065329215,3890.836998750051,3982.9035838777686,3890.836998750051,3982.9035838777686,,,,,,,,,-1,1,-1,0,0,5782.305424
2017-10-02,3953.65828125,4658,3953.65828125,4452,3996.759290525334,4087.3547758058985,3996.759290525334,4087.3547758058985,4193.571002620329,4260.273944077462,4193.571002620329,4260.273944077462,,,,,,,,,-1,1,1,0,0,4708.272956
2017-10-09,4202.829140625,5922.3,4202.829140625,5205.5725,4042.1372199583116,4456.201136616941,4042.1372199583116,4456.201136616941,4645.818413803798,4897.151743055753,4645.818413803798,4897.151743055753,,,,,,,,,-1,1,1,0,0,7913.925837
2017-10-16,4704.200820312501,6171,4704.200820312501,5717.2425,4249.1959072185255,4882.944020502305,4249.1959072185255,4882.944020502305,5376.274515494988,5534.4228696376,5376.274515494988,5534.4228696376,,,,,,,,,-1,1,1,0,0,12157.769447
