time,open,high,low,close,HTF2 SHA (Open),HTF2 SHA (High,HTF2 SHA (Low),HTF2 SHA (Close),HTF1 SHA (Open),HTF1 SHA (High,HTF1 SHA (Low),HTF1 SHA (Close),Base SHA (Open),Base SHA (High,Base SHA (Low),Base SHA (Close),Entry Long,Entry Short,Exit,Active Stop,Base Dir,HTF1 Dir,HTF2 Dir,Alignment,Position,Volume
2018-04-07,6803.436016899101,7070,6586.28,6788.367499999999,9613.665169677544,9613.665169677544,8662.17598658013,8662.17598658013,7381.1141664681945,7381.1141664681945,7184.990519646696,7184.990519646696,7381.1141664681945,7381.1141664681945,7184.990519646696,7184.990519646696,,,,11712,-1,-1,-1,-1,-1,32269.578267
2018-04-08,6795.9017584495505,7109.13,6795.9017584495505,6975.735000000001,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7283.052343057446,7283.052343057446,7119.9669910392595,7119.9669910392595,7283.052343057446,7283.052343057446,7119.9669910392595,7119.9669910392595,,,,11712,-1,-1,-1,-1,-1,21427.673165
2018-04-09,6885.8183792247755,7185,6611,6897.4400000000005,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7201.509667048353,7201.509667048353,7069.609131357294,7069.609131357294,7201.509667048353,7201.509667048353,7069.609131357294,7069.609131357294,,,,11712,-1,-1,-1,-1,-1,34078.297206
2018-04-10,6891.629189612388,6891.629189612388,6656,6792.862499999999,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7135.559399202823,7135.559399202823,7022.8573380345015,7022.8573380345015,7135.559399202823,7135.559399202823,7022.8573380345015,7022.8573380345015,,,,11712,-1,-1,-1,-1,-1,22326.728095
2018-04-11,6842.245844806193,6990,6787,6892.587500000001,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7079.2083686186625,7079.2083686186625,6988.159923209824,6988.159923209824,7079.2083686186625,7079.2083686186625,6988.159923209824,6988.159923209824,,,,11712,-1,-1,-1,-1,-1,23997.871177
2018-04-12,6867.4166724030965,8012.23,6743.2,7408.0525,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7033.684145914243,7033.684145914243,6995.9291180597265,6995.9291180597265,7033.684145914243,7033.684145914243,6995.9291180597265,6995.9291180597265,,,,11712,-1,-1,-1,-1,-1,64861.595987
2018-04-13,7137.734586201548,8233.39,7137.734586201548,7941.447499999999,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7014.806631986985,7054.367857882218,7014.806631986985,7054.367857882218,7014.806631986985,7054.367857882218,7014.806631986985,7054.367857882218,,,7941.447499999999,,1,1,-1,0,0,55044.523148
2018-04-14,7539.591043100774,8186,7539.591043100774,7968.1224999999995,9137.920578128838,9137.920578128838,8076.591692240921,8076.591692240921,7034.587244934602,7148.6577843476625,7034.587244934602,7148.6577843476625,7034.587244934602,7148.6577843476625,7034.587244934602,7148.6577843476625,,,,,1,1,-1,0,0,31621.286357
2018-04-15,7753.856771550387,8429.54,7753.856771550387,8196.89,8607.25613518488,8607.25613518488,7783.936958631657,7783.936958631657,7091.622514641132,7271.3155812695395,7091.622514641132,7271.3155812695395,7091.622514641132,7271.3155812695395,7091.622514641132,7271.3155812695395,,,,,1,1,-1,0,0,27945.872618
2018-04-16,7975.373385775193,8419,7867,8176.4974999999995,8607.25613518488,8607.25613518488,7783.936958631657,7783.936958631657,7181.469047955336,7403.058298959683,7181.469047955336,7403.058298959683,7181.469047955336,7403.058298959683,7181.469047955336,7403.058298959683,,,,,1,1,-1,0,0,36664.069715
