time,open,high,low,close,Volume
2025-09-30T14:00:00-07:00,1.173355,1.173835,1.173355,1.173645,
2025-09-30T14:15:00-07:00,1.173645,1.17385,1.173625,1.173675,
2025-09-30T14:30:00-07:00,1.173675,1.17374,1.173475,1.17369,
2025-09-30T14:45:00-07:00,1.17369,1.173885,1.173565,1.173795,
2025-09-30T15:00:00-07:00,1.173795,1.174245,1.17343,1.173735,
2025-09-30T15:15:00-07:00,1.173735,1.17384,1.173555,1.17356,
2025-09-30T15:30:00-07:00,1.17356,1.17365,1.173435,1.1735,
2025-09-30T15:45:00-07:00,1.1735,1.1735,1.173335,1.173445,
2025-09-30T16:00:00-07:00,1.173445,1.174275,1.17338,1.17419,
2025-09-30T16:15:00-07:00,1.17419,1.17425,1.17396,1.173975,
2025-09-30T16:30:00-07:00,1.173975,1.17399,1.17358,1.1736,
2025-09-30T16:45:00-07:00,1.1736,1.17377,1.17343,1.17346,
2025-09-30T17:00:00-07:00,1.17346,1.173465,1.17298,1.173225,
2025-09-30T17:15:00-07:00,1.173225,1.173845,1.17322,1.173495,
2025-09-30T17:30:00-07:00,1.173495,1.17357,1.17311,1.173255,
2025-09-30T17:45:00-07:00,1.173255,1.1737,1.173215,1.17362,
2025-09-30T18:00:00-07:00,1.17362,1.173695,1.17305,1.17345,
2025-09-30T18:15:00-07:00,1.17345,1.17386,1.173435,1.173795,
2025-09-30T18:30:00-07:00,1.173795,1.17408,1.17368,1.17406,
2025-09-30T18:45:00-07:00,1.17406,1.174085,1.17359,1.17392,
2025-09-30T19:00:00-07:00,1.17392,1.17397,1.17329,1.173295,
2025-09-30T19:15:00-07:00,1.173295,1.17361,1.173295,1.17337,
2025-09-30T19:30:00-07:00,1.17337,1.17358,1.17324,1.17353,
2025-09-30T19:45:00-07:00,1.17353,1.17396,1.17351,1.173785,
2025-09-30T20:00:00-07:00,1.173785,1.17392,1.173695,1.173805,
2025-09-30T20:15:00-07:00,1.173805,1.17382,1.17358,1.17374,
2025-09-30T20:30:00-07:00,1.17374,1.17375,1.17339,1.17359,
2025-09-30T20:45:00-07:00,1.17359,1.17389,1.17358,1.173795,
2025-09-30T21:00:00-07:00,1.173795,1.174255,1.173795,1.174165,
2025-09-30T21:15:00-07:00,1.174165,1.17451,1.174165,1.1745,
2025-09-30T21:30:00-07:00,1.1745,1.1749,1.17449,1.17489,
2025-09-30T21:45:00-07:00,1.17489,1.175875,1.17486,1.17582,
2025-09-30T22:00:00-07:00,1.17582,1.176695,1.175575,1.175895,
2025-09-30T22:15:00-07:00,1.175895,1.176355,1.17574,1.17603,
2025-09-30T22:30:00-07:00,1.17603,1.176085,1.17568,1.17574,
2025-09-30T22:45:00-07:00,1.17574,1.17576,1.175225,1.175255,
2025-09-30T23:00:00-07:00,1.175255,1.176005,1.175075,1.17574,
2025-09-30T23:15:00-07:00,1.17574,1.175955,1.17534,1.1759,
2025-09-30T23:30:00-07:00,1.1759,1.177485,1.175785,1.1772,
2025-09-30T23:45:00-07:00,1.1772,1.17734,1.17661,1.17679,
2025-10-01T00:00:00-07:00,1.17679,1.177875,1.17678,1.17767,
2025-10-01T00:15:00-07:00,1.17767,1.177765,1.17536,1.17536,
2025-10-01T00:30:00-07:00,1.17536,1.175785,1.174205,1.174305,
2025-10-01T00:45:00-07:00,1.174305,1.17568,1.174225,1.175,
2025-10-01T01:00:00-07:00,1.175,1.17628,1.175,1.17526,
2025-10-01T01:15:00-07:00,1.17526,1.175955,1.175205,1.17557,
2025-10-01T01:30:00-07:00,1.17557,1.17658,1.17536,1.17584,
2025-10-01T01:45:00-07:00,1.17584,1.17601,1.174945,1.174975,
2025-10-01T02:00:00-07:00,1.174975,1.17542,1.17463,1.175155,
2025-10-01T02:15:00-07:00,1.175155,1.1752,1.174305,1.174345,
2025-10-01T02:30:00-07:00,1.174345,1.174515,1.174005,1.174255,
2025-10-01T02:45:00-07:00,1.174255,1.174255,1.173085,1.1733,
2025-10-01T03:00:00-07:00,1.1733,1.17336,1.172575,1.173035,
2025-10-01T03:15:00-07:00,1.173035,1.173035,1.171735,1.1718,
2025-10-01T03:30:00-07:00,1.1718,1.172655,1.1716,1.172555,
2025-10-01T03:45:00-07:00,1.172555,1.17304,1.17204,1.172555,
2025-10-01T04:00:00-07:00,1.172555,1.173085,1.17252,1.17306,
2025-10-01T04:15:00-07:00,1.17306,1.173625,1.17306,1.17356,
2025-10-01T04:30:00-07:00,1.17356,1.1739,1.17321,1.173795,
2025-10-01T04:45:00-07:00,1.173795,1.17403,1.17333,1.17345,
2025-10-01T05:00:00-07:00,1.17345,1.17355,1.17235,1.172445,
2025-10-01T05:15:00-07:00,1.172445,1.176895,1.17226,1.1752,
2025-10-01T05:30:00-07:00,1.1752,1.176415,1.174355,1.17541,
2025-10-01T05:45:00-07:00,1.17541,1.17605,1.17436,1.17491,
2025-10-01T06:00:00-07:00,1.17491,1.17605,1.174605,1.175385,
2025-10-01T06:15:00-07:00,1.175385,1.17584,1.1748,1.17538,
2025-10-01T06:30:00-07:00,1.17538,1.17609,1.175265,1.175945,
2025-10-01T06:45:00-07:00,1.175945,1.17617,1.175,1.175475,
2025-10-01T07:00:00-07:00,1.175475,1.176345,1.174065,1.17417,
2025-10-01T07:15:00-07:00,1.17417,1.17495,1.173475,1.174765,
2025-10-01T07:30:00-07:00,1.174765,1.175495,1.174685,1.175255,
2025-10-01T07:45:00-07:00,1.175255,1.17566,1.17315,1.17466,
2025-10-01T08:00:00-07:00,1.17466,1.174945,1.173395,1.17365,
2025-10-01T08:15:00-07:00,1.17365,1.17374,1.17213,1.172605,
2025-10-01T08:30:00-07:00,1.172605,1.17354,1.172355,1.172945,
2025-10-01T08:45:00-07:00,1.172945,1.17316,1.17224,1.1723,
2025-10-01T09:00:00-07:00,1.1723,1.172675,1.171655,1.17216,
2025-10-01T09:15:00-07:00,1.17216,1.172565,1.172045,1.172275,
2025-10-01T09:30:00-07:00,1.172275,1.17233,1.171555,1.17157,
2025-10-01T09:45:00-07:00,1.17157,1.172455,1.17156,1.172295,
2025-10-01T10:00:00-07:00,1.172295,1.172885,1.172285,1.17287,
2025-10-01T10:15:00-07:00,1.17287,1.173255,1.172755,1.173075,
2025-10-01T10:30:00-07:00,1.173075,1.17309,1.17246,1.172555,
2025-10-01T10:45:00-07:00,1.172555,1.17283,1.17233,1.17238,
2025-10-01T11:00:00-07:00,1.17238,1.17339,1.17216,1.17338,
2025-10-01T11:15:00-07:00,1.17338,1.17383,1.173285,1.173785,
2025-10-01T11:30:00-07:00,1.173785,1.174205,1.1737,1.17385,
2025-10-01T11:45:00-07:00,1.17385,1.17404,1.17347,1.17349,
2025-10-01T12:00:00-07:00,1.17349,1.17371,1.17324,1.17348,
2025-10-01T12:15:00-07:00,1.17348,1.17349,1.1731,1.17335,
2025-10-01T12:30:00-07:00,1.17335,1.173585,1.17325,1.17338,
2025-10-01T12:45:00-07:00,1.17338,1.17354,1.172975,1.17305,
2025-10-01T13:00:00-07:00,1.17305,1.1731,1.17278,1.17282,
2025-10-01T13:15:00-07:00,1.17282,1.17298,1.172615,1.17265,
2025-10-01T13:30:00-07:00,1.17265,1.17296,1.17264,1.17287,
2025-10-01T13:45:00-07:00,1.17287,1.1731,1.172685,1.17305,
2025-10-01T14:00:00-07:00,1.17305,1.173145,1.172955,1.17303,
2025-10-01T14:15:00-07:00,1.17303,1.17313,1.17295,1.173005,
2025-10-01T14:30:00-07:00,1.173005,1.17341,1.173005,1.173345,
2025-10-01T14:45:00-07:00,1.173345,1.17356,1.17306,1.173335,
2025-10-01T15:00:00-07:00,1.173335,1.17375,1.173205,1.173315,
2025-10-01T15:15:00-07:00,1.173315,1.173535,1.173315,1.17339,
2025-10-01T15:30:00-07:00,1.17339,1.173505,1.173375,1.17348,
2025-10-01T15:45:00-07:00,1.17348,1.17351,1.17339,1.1734,
2025-10-01T16:00:00-07:00,1.1734,1.17364,1.173355,1.17353,
2025-10-01T16:15:00-07:00,1.17353,1.1736,1.1734,1.1736,
2025-10-01T16:30:00-07:00,1.1736,1.17372,1.17346,1.17359,
2025-10-01T16:45:00-07:00,1.17359,1.1736,1.17328,1.1733,
2025-10-01T17:00:00-07:00,1.1733,1.173505,1.172615,1.172625,
2025-10-01T17:15:00-07:00,1.172625,1.172965,1.17255,1.17265,
2025-10-01T17:30:00-07:00,1.17265,1.17275,1.172465,1.172695,
2025-10-01T17:45:00-07:00,1.172695,1.17311,1.17258,1.17299,
2025-10-01T18:00:00-07:00,1.17299,1.172995,1.17239,1.1729,
2025-10-01T18:15:00-07:00,1.1729,1.173665,1.17289,1.17346,
2025-10-01T18:30:00-07:00,1.17346,1.17393,1.173355,1.17366,
2025-10-01T18:45:00-07:00,1.17366,1.1739,1.17364,1.17389,
2025-10-01T19:00:00-07:00,1.17389,1.1742,1.17373,1.17419,
2025-10-01T19:15:00-07:00,1.17419,1.1742,1.17369,1.17389,
2025-10-01T19:30:00-07:00,1.17389,1.17401,1.173775,1.17385,
2025-10-01T19:45:00-07:00,1.17385,1.17401,1.17369,1.17373,
