time,open,high,low,close,Volume
2006-01-03,1.18593,1.20343,1.18093,1.20283,
2006-01-04,1.20283,1.21433,1.20233,1.21093,
2006-01-05,1.21093,1.21193,1.20633,1.21033,
2006-01-06,1.21033,1.21783,1.20793,1.21493,
2006-01-09,1.21393,1.21513,1.20503,1.20733,
2006-01-10,1.20733,1.21073,1.20353,1.20603,
2006-01-11,1.20603,1.21433,1.20423,1.21363,
2006-01-12,1.21363,1.21613,1.20053,1.20393,
2006-01-13,1.20393,1.21413,1.20273,1.21323,
2006-01-16,1.21633,1.21703,1.21053,1.21153,
2006-01-17,1.21153,1.21393,1.20483,1.21053,
2006-01-18,1.21053,1.21573,1.20683,1.21043,
2006-01-19,1.21043,1.21233,1.20503,1.20883,
2006-01-20,1.20883,1.21383,1.20383,1.21373,
2006-01-23,1.21653,1.23213,1.21653,1.23023,
2006-01-24,1.23023,1.23083,1.22553,1.22633,
2006-01-25,1.22633,1.23223,1.22343,1.22423,
2006-01-26,1.22423,1.22673,1.21963,1.22133,
2006-01-27,1.22133,1.22323,1.20833,1.21013,
2006-01-30,1.21053,1.21133,1.20623,1.20823,
2006-01-31,1.20823,1.21883,1.20783,1.21463,
2006-02-01,1.21463,1.21603,1.20463,1.20623,
2006-02-02,1.20623,1.21073,1.20293,1.20803,
2006-02-03,1.20803,1.21103,1.19663,1.20223,
2006-02-06,1.20243,1.20443,1.19443,1.19573,
2006-02-07,1.19573,1.20133,1.19413,1.19893,
2006-02-08,1.19893,1.19913,1.19213,1.19623,
2006-02-09,1.19623,1.19933,1.19453,1.19903,
2006-02-10,1.19903,1.20223,1.18903,1.18983,
2006-02-13,1.18963,1.19163,1.18753,1.19083,
2006-02-14,1.19083,1.19253,1.18573,1.19103,
2006-02-15,1.19103,1.19513,1.18673,1.18833,
2006-02-16,1.18833,1.19133,1.18483,1.19043,
2006-02-17,1.19043,1.19413,1.18583,1.19333,
2006-02-20,1.19473,1.19743,1.19243,1.19313,
2006-02-21,1.19313,1.19333,1.18883,1.19143,
2006-02-22,1.19143,1.19273,1.18613,1.19153,
2006-02-23,1.19153,1.19673,1.18903,1.19183,
2006-02-24,1.19183,1.19333,1.18613,1.18723,
2006-02-27,1.18373,1.18763,1.18233,1.18463,
2006-02-28,1.18463,1.19393,1.18323,1.19303,
2006-03-01,1.19303,1.19733,1.18873,1.19173,
2006-03-02,1.19173,1.20433,1.19123,1.20353,
2006-03-03,1.20353,1.20493,1.19933,1.20383,
2006-03-06,1.20793,1.20903,1.19883,1.20133,
2006-03-07,1.20133,1.20213,1.18673,1.18863,
2006-03-08,1.18863,1.19403,1.18703,1.19203,
2006-03-09,1.19203,1.19503,1.18963,1.18973,
2006-03-10,1.18973,1.19243,1.18573,1.19153,
2006-03-13,1.19793,1.20303,1.19393,1.20173,
2006-03-14,1.20173,1.20723,1.20043,1.20583,
2006-03-15,1.20583,1.21863,1.20353,1.21773,
2006-03-16,1.21773,1.22043,1.21403,1.21863,
2006-03-17,1.21863,1.21863,1.21863,1.21863,
